0.000000 0.000000e+00  -0.000000e+00 -0.000000e+00
0.000020 2.140323e+02  1.585266e+01 6.424841e+00
0.000040 4.196056e+02  3.170532e+01 1.284968e+01
0.000060 5.601222e+02  4.755798e+01 1.927452e+01
0.000080 6.185267e+02  6.341064e+01 2.569937e+01
0.000100 6.706888e+02  7.926330e+01 3.212421e+01
0.000120 7.348355e+02  9.511597e+01 3.854905e+01
0.000140 7.940165e+02  1.109686e+02 4.497389e+01
0.000160 8.482290e+02  1.268213e+02 5.139873e+01
0.000180 9.082523e+02  1.426739e+02 5.782357e+01
0.000200 9.770779e+02  1.585266e+02 6.424841e+01
0.000220 1.036139e+03  1.743793e+02 7.067326e+01
0.000240 1.086304e+03  1.902319e+02 7.709810e+01
0.000260 1.146439e+03  2.060846e+02 8.352294e+01
0.000280 1.179129e+03  2.219373e+02 8.994778e+01
0.000300 1.202938e+03  2.377899e+02 9.637262e+01
0.000320 1.211582e+03  2.536426e+02 1.027975e+02
0.000340 1.225140e+03  2.694952e+02 1.092223e+02
0.000360 1.210633e+03  2.853479e+02 1.156471e+02
0.000380 1.188347e+03  3.012006e+02 1.220720e+02
0.000400 1.174259e+03  3.170532e+02 1.284968e+02
0.000420 1.141140e+03  3.329059e+02 1.349217e+02
0.000440 1.105605e+03  3.487585e+02 1.413465e+02
0.000460 1.073898e+03  3.646112e+02 1.477714e+02
0.000480 1.062072e+03  3.804639e+02 1.541962e+02
0.000500 1.043782e+03  3.963165e+02 1.606210e+02
0.000520 1.033696e+03  4.121692e+02 1.670459e+02
0.000540 1.051921e+03  4.280218e+02 1.734707e+02
0.000560 1.063331e+03  4.438745e+02 1.798956e+02
0.000580 1.086141e+03  4.597272e+02 1.863204e+02
0.000600 1.116657e+03  4.755798e+02 1.927452e+02
0.000620 1.169700e+03  4.914325e+02 1.991701e+02
0.000640 1.212649e+03  5.072851e+02 2.055949e+02
0.000660 1.258759e+03  5.231378e+02 2.120198e+02
0.000680 1.319317e+03  5.389905e+02 2.184446e+02
0.000700 1.363655e+03  5.548431e+02 2.248695e+02
0.000720 1.403369e+03  5.706958e+02 2.312943e+02
0.000740 1.437957e+03  5.865485e+02 2.377191e+02
0.000760 1.479501e+03  6.024011e+02 2.441440e+02
0.000780 1.501149e+03  6.182538e+02 2.505688e+02
0.000800 1.514359e+03  6.341064e+02 2.569937e+02
0.000820 1.537990e+03  6.499591e+02 2.634185e+02
0.000840 1.539214e+03  6.658118e+02 2.698433e+02
0.000860 1.536887e+03  6.816644e+02 2.762682e+02
0.000880 1.530067e+03  6.975171e+02 2.826930e+02
0.000900 1.538005e+03  7.133697e+02 2.891179e+02
0.000920 1.530072e+03  7.292224e+02 2.955427e+02
0.000940 1.523333e+03  7.450751e+02 3.019675e+02
0.000960 1.535763e+03  7.609277e+02 3.083924e+02
0.000980 1.534932e+03  7.767804e+02 3.148172e+02
0.001000 1.537805e+03  7.926330e+02 3.212421e+02
0.001020 1.547451e+03  8.084857e+02 3.276669e+02
0.001040 1.574724e+03  8.243384e+02 3.340918e+02
0.001060 1.591270e+03  8.401910e+02 3.405166e+02
0.001080 1.612583e+03  8.560437e+02 3.469414e+02
0.001100 1.652815e+03  8.718963e+02 3.533663e+02
0.001120 1.678175e+03  8.877490e+02 3.597911e+02
0.001140 1.708199e+03  9.036017e+02 3.662160e+02
0.001160 1.736012e+03  9.194543e+02 3.726408e+02
0.001180 1.779397e+03  9.353070e+02 3.790656e+02
0.001200 1.806741e+03  9.511597e+02 3.854905e+02
0.001220 1.834468e+03  9.670123e+02 3.919153e+02
0.001240 1.874914e+03  9.828650e+02 3.983402e+02
0.001260 1.895636e+03  9.987176e+02 4.047650e+02
0.001280 1.918299e+03  1.014570e+03 4.111899e+02
0.001300 1.933592e+03  1.030423e+03 4.176147e+02
0.001320 1.962686e+03  1.046276e+03 4.240395e+02
0.001340 1.973957e+03  1.062128e+03 4.304644e+02
0.001360 1.986645e+03  1.077981e+03 4.368892e+02
0.001380 2.012348e+03  1.093834e+03 4.433141e+02
0.001400 2.019816e+03  1.109686e+03 4.497389e+02
0.001420 2.031456e+03  1.125539e+03 4.561637e+02
0.001440 2.039116e+03  1.141392e+03 4.625886e+02
0.001460 2.064169e+03  1.157244e+03 4.690134e+02
