0.000000 0.000000e+00  -0.000000e+00 -0.000000e+00
0.000020 4.301419e+02  6.356558e+01 2.576216e+01
0.000040 8.448566e+02  1.271312e+02 5.152432e+01
0.000060 1.116230e+03  1.906967e+02 7.728648e+01
0.000080 1.234402e+03  2.542623e+02 1.030486e+02
0.000100 1.354458e+03  3.178279e+02 1.288108e+02
0.000120 1.470177e+03  3.813935e+02 1.545730e+02
0.000140 1.590833e+03  4.449591e+02 1.803351e+02
0.000160 1.714752e+03  5.085246e+02 2.060973e+02
0.000180 1.837984e+03  5.720902e+02 2.318594e+02
0.000200 1.967804e+03  6.356558e+02 2.576216e+02
0.000220 2.090331e+03  6.992214e+02 2.833838e+02
0.000240 2.209176e+03  7.627870e+02 3.091459e+02
0.000260 2.320748e+03  8.263525e+02 3.349081e+02
0.000280 2.393117e+03  8.899181e+02 3.606702e+02
0.000300 2.462711e+03  9.534837e+02 3.864324e+02
0.000320 2.489978e+03  1.017049e+03 4.121946e+02
0.000340 2.513530e+03  1.080615e+03 4.379567e+02
0.000360 2.495851e+03  1.144180e+03 4.637189e+02
0.000380 2.478584e+03  1.207746e+03 4.894810e+02
0.000400 2.445242e+03  1.271312e+03 5.152432e+02
0.000420 2.392751e+03  1.334877e+03 5.410053e+02
0.000440 2.350778e+03  1.398443e+03 5.667675e+02
0.000460 2.302276e+03  1.462008e+03 5.925297e+02
0.000480 2.277450e+03  1.525574e+03 6.182918e+02
0.000500 2.255085e+03  1.589140e+03 6.440540e+02
0.000520 2.263933e+03  1.652705e+03 6.698161e+02
0.000540 2.296324e+03  1.716271e+03 6.955783e+02
0.000560 2.332737e+03  1.779836e+03 7.213405e+02
0.000580 2.405158e+03  1.843402e+03 7.471026e+02
0.000600 2.478949e+03  1.906967e+03 7.728648e+02
0.000620 2.583239e+03  1.970533e+03 7.986269e+02
0.000640 2.680432e+03  2.034099e+03 8.243891e+02
0.000660 2.798392e+03  2.097664e+03 8.501513e+02
0.000680 2.915525e+03  2.161230e+03 8.759134e+02
0.000700 3.015588e+03  2.224795e+03 9.016756e+02
0.000720 3.120148e+03  2.288361e+03 9.274377e+02
0.000740 3.201411e+03  2.351926e+03 9.531999e+02
0.000760 3.283377e+03  2.415492e+03 9.789621e+02
0.000780 3.338039e+03  2.479058e+03 1.004724e+03
0.000800 3.392079e+03  2.542623e+03 1.030486e+03
0.000820 3.435605e+03  2.606189e+03 1.056249e+03
0.000840 3.451814e+03  2.669754e+03 1.082011e+03
0.000860 3.475284e+03  2.733320e+03 1.107773e+03
0.000880 3.477142e+03  2.796886e+03 1.133535e+03
0.000900 3.492995e+03  2.860451e+03 1.159297e+03
0.000920 3.492052e+03  2.924017e+03 1.185059e+03
0.000940 3.510080e+03  2.987582e+03 1.210821e+03
0.000960 3.532842e+03  3.051148e+03 1.236584e+03
0.000980 3.547964e+03  3.114713e+03 1.262346e+03
0.001000 3.585172e+03  3.178279e+03 1.288108e+03
0.001020 3.622868e+03  3.241845e+03 1.313870e+03
0.001040 3.683950e+03  3.305410e+03 1.339632e+03
0.001060 3.732726e+03  3.368976e+03 1.365394e+03
0.001080 3.808842e+03  3.432541e+03 1.391157e+03
0.001100 3.887407e+03  3.496107e+03 1.416919e+03
0.001120 3.958727e+03  3.559673e+03 1.442681e+03
0.001140 4.048839e+03  3.623238e+03 1.468443e+03
0.001160 4.120465e+03  3.686804e+03 1.494205e+03
0.001180 4.212197e+03  3.750369e+03 1.519967e+03
