0.000000 0.000000e+00  -0.000000e+00 -0.000000e+00
0.000020 2.860169e+02  2.822267e+01 1.143822e+01
0.000040 5.611397e+02  5.644534e+01 2.287644e+01
0.000060 7.466507e+02  8.466801e+01 3.431465e+01
0.000080 8.250972e+02  1.128907e+02 4.575287e+01
0.000100 8.951063e+02  1.411134e+02 5.719109e+01
0.000120 9.756525e+02  1.693360e+02 6.862931e+01
0.000140 1.055331e+03  1.975587e+02 8.006752e+01
0.000160 1.142508e+03  2.257814e+02 9.150574e+01
0.000180 1.223768e+03  2.540040e+02 1.029440e+02
0.000200 1.300237e+03  2.822267e+02 1.143822e+02
0.000220 1.393210e+03  3.104494e+02 1.258204e+02
0.000240 1.462295e+03  3.386721e+02 1.372586e+02
0.000260 1.539671e+03  3.668947e+02 1.486968e+02
0.000280 1.585875e+03  3.951174e+02 1.601350e+02
0.000300 1.620717e+03  4.233401e+02 1.715733e+02
0.000320 1.649971e+03  4.515627e+02 1.830115e+02
0.000340 1.652705e+03  4.797854e+02 1.944497e+02
0.000360 1.637254e+03  5.080081e+02 2.058879e+02
0.000380 1.628458e+03  5.362307e+02 2.173261e+02
0.000400 1.591863e+03  5.644534e+02 2.287644e+02
0.000420 1.567659e+03  5.926761e+02 2.402026e+02
0.000440 1.525487e+03  6.208988e+02 2.516408e+02
0.000460 1.488473e+03  6.491214e+02 2.630790e+02
0.000480 1.473477e+03  6.773441e+02 2.745172e+02
0.000500 1.453914e+03  7.055668e+02 2.859554e+02
0.000520 1.460416e+03  7.337894e+02 2.973937e+02
0.000540 1.467430e+03  7.620121e+02 3.088319e+02
0.000560 1.487050e+03  7.902348e+02 3.202701e+02
0.000580 1.537336e+03  8.184575e+02 3.317083e+02
0.000600 1.582110e+03  8.466801e+02 3.431465e+02
0.000620 1.637366e+03  8.749028e+02 3.545847e+02
0.000640 1.712408e+03  9.031255e+02 3.660230e+02
0.000660 1.777409e+03  9.313481e+02 3.774612e+02
0.000680 1.856778e+03  9.595708e+02 3.888994e+02
0.000700 1.919289e+03  9.877935e+02 4.003376e+02
0.000720 1.975259e+03  1.016016e+03 4.117758e+02
0.000740 2.039636e+03  1.044239e+03 4.232141e+02
0.000760 2.079976e+03  1.072461e+03 4.346523e+02
0.000780 2.112038e+03  1.100684e+03 4.460905e+02
0.000800 2.149898e+03  1.128907e+03 4.575287e+02
0.000820 2.164271e+03  1.157130e+03 4.689669e+02
0.000840 2.185332e+03  1.185352e+03 4.804051e+02
0.000860 2.186608e+03  1.213575e+03 4.918434e+02
0.000880 2.182932e+03  1.241798e+03 5.032816e+02
0.000900 2.194626e+03  1.270020e+03 5.147198e+02
0.000920 2.188798e+03  1.298243e+03 5.261580e+02
0.000940 2.201075e+03  1.326466e+03 5.375962e+02
0.000960 2.200301e+03  1.354688e+03 5.490344e+02
0.000980 2.204585e+03  1.382911e+03 5.604727e+02
0.001000 2.230665e+03  1.411134e+03 5.719109e+02
0.001020 2.249934e+03  1.439356e+03 5.833491e+02
0.001040 2.270427e+03  1.467579e+03 5.947873e+02
0.001060 2.316196e+03  1.495802e+03 6.062255e+02
0.001080 2.347244e+03  1.524024e+03 6.176638e+02
0.001100 2.400135e+03  1.552247e+03 6.291020e+02
0.001120 2.442112e+03  1.580470e+03 6.405402e+02
0.001140 2.482815e+03  1.608692e+03 6.519784e+02
0.001160 2.543527e+03  1.636915e+03 6.634166e+02
0.001180 2.585113e+03  1.665138e+03 6.748548e+02
0.001200 2.625434e+03  1.693360e+03 6.862931e+02
0.001220 2.685014e+03  1.721583e+03 6.977313e+02
0.001240 2.720542e+03  1.749806e+03 7.091695e+02
0.001260 2.768693e+03  1.778028e+03 7.206077e+02
0.001280 2.801953e+03  1.806251e+03 7.320459e+02
0.001300 2.827348e+03  1.834474e+03 7.434842e+02
0.001320 2.872329e+03  1.862696e+03 7.549224e+02
0.001340 2.891567e+03  1.890919e+03 7.663606e+02
0.001360 2.925169e+03  1.919142e+03 7.777988e+02
0.001380 2.945720e+03  1.947364e+03 7.892370e+02
0.001400 2.960638e+03  1.975587e+03 8.006752e+02
0.001420 2.998574e+03  2.003810e+03 8.121135e+02
0.001440 3.014253e+03  2.032032e+03 8.235517e+02
0.001460 3.030737e+03  2.060255e+03 8.349899e+02
0.001480 3.070698e+03  2.088478e+03 8.464281e+02
0.001500 3.090895e+03  2.116700e+03 8.578663e+02
0.001520 3.132448e+03  2.144923e+03 8.693045e+02
